epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1336.09,4.09071,3.52565,2.98881,0.02066,0.04383,0.01255,0.00469,3.79345,3.32063,2.29887,0.070031,0.00332989,0.00332989
2,2105.64,2.48294,2.0661,1.8595,0.38896,0.11313,0.12858,0.05789,2.43264,1.85122,1.42505,0.039965,0.00659726,0.00659726
3,2669.64,1.98723,1.54648,1.49674,0.47093,0.14891,0.17312,0.07695,2.26183,1.54535,1.32204,0.00983303,0.00979863,0.00979863
4,3181.09,1.76995,1.33647,1.37313,0.54113,0.16772,0.2004,0.09834,2.03928,1.31844,1.23513,0.009703,0.009703,0.009703
5,3654.93,1.6572,1.19556,1.3149,0.5757,0.17836,0.21421,0.10746,1.98081,1.2713,1.21323,0.009604,0.009604,0.009604
6,4087.09,1.57105,1.09836,1.27197,0.60287,0.1907,0.23587,0.12065,1.92042,1.22038,1.16573,0.009505,0.009505,0.009505
7,4502.38,1.52302,1.04571,1.23374,0.6318,0.20136,0.25074,0.13069,1.83771,1.15757,1.14204,0.009406,0.009406,0.009406
8,4908.41,1.47753,1.00582,1.22487,0.62007,0.20607,0.25427,0.13377,1.82243,1.09896,1.13726,0.009307,0.009307,0.009307
9,8152,1.45757,0.97108,1.2135,0.66346,0.20398,0.26148,0.13817,1.80375,1.13928,1.12066,0.009208,0.009208,0.009208
10,14080.6,1.44138,0.96148,1.20057,0.65548,0.21247,0.26711,0.14149,1.77986,1.08921,1.11562,0.009109,0.009109,0.009109
11,15734.1,1.4165,0.93055,1.18317,0.66477,0.217,0.27315,0.14564,1.7496,1.04563,1.1148,0.00901,0.00901,0.00901
12,16140,1.39393,0.91468,1.18197,0.67778,0.21551,0.27491,0.14743,1.73908,1.06152,1.10631,0.008911,0.008911,0.008911
13,16537.5,1.39121,0.90509,1.1784,0.67205,0.22365,0.28345,0.14983,1.74841,1.05239,1.10086,0.008812,0.008812,0.008812
14,16932.1,1.37596,0.89289,1.18002,0.67464,0.21383,0.26982,0.14698,1.72796,1.02269,1.10836,0.008713,0.008713,0.008713
15,17322.2,1.35405,0.87525,1.16611,0.70946,0.22325,0.28762,0.15613,1.69506,1.03649,1.0878,0.008614,0.008614,0.008614
16,17705.8,1.34695,0.86346,1.16235,0.68299,0.22859,0.29174,0.15715,1.69657,1.02503,1.09328,0.008515,0.008515,0.008515
17,18081.2,1.34238,0.86135,1.16195,0.66534,0.23045,0.287,0.15456,1.69742,0.94956,1.08969,0.008416,0.008416,0.008416
18,18481.3,1.33079,0.8421,1.15609,0.70056,0.22876,0.29901,0.1639,1.67933,1.0181,1.08344,0.008317,0.008317,0.008317
19,18861.2,1.326,0.84582,1.15252,0.71017,0.23184,0.30083,0.16446,1.66603,0.99421,1.07507,0.008218,0.008218,0.008218
20,19235.1,1.30815,0.8197,1.14596,0.70892,0.23489,0.30269,0.16548,1.64975,0.98103,1.07237,0.008119,0.008119,0.008119
21,22952.2,1.30162,0.81877,1.14551,0.72785,0.2302,0.30347,0.16731,1.63782,0.98534,1.07125,0.00802,0.00802,0.00802
22,23324.6,1.30059,0.81418,1.13814,0.7214,0.23157,0.30694,0.17097,1.62884,0.96758,1.06513,0.007921,0.007921,0.007921
23,23695.2,1.29412,0.81002,1.13221,0.70484,0.23756,0.30413,0.16683,1.63913,0.95903,1.07,0.007822,0.007822,0.007822
24,24066.5,1.28647,0.80487,1.13239,0.73415,0.23428,0.30962,0.17296,1.61854,0.95468,1.06437,0.007723,0.007723,0.007723
25,24434.7,1.27978,0.80486,1.12702,0.70893,0.23612,0.30548,0.16912,1.6216,0.95048,1.06245,0.007624,0.007624,0.007624
26,24820.6,1.27019,0.79787,1.12692,0.71262,0.24249,0.314,0.17295,1.62102,0.93911,1.05986,0.007525,0.007525,0.007525
27,25212.4,1.26516,0.78005,1.12252,0.7234,0.24091,0.3152,0.17551,1.60926,0.9373,1.05786,0.007426,0.007426,0.007426
28,25614.5,1.27468,0.80171,1.13012,0.72772,0.24104,0.31193,0.17424,1.60415,0.92932,1.05929,0.007327,0.007327,0.007327
29,25993,1.25934,0.77849,1.11897,0.71833,0.25076,0.32107,0.17815,1.60009,0.8933,1.05499,0.007228,0.007228,0.007228
30,26381.8,1.26655,0.78573,1.12675,0.72991,0.23881,0.30894,0.17358,1.59136,0.91989,1.05654,0.007129,0.007129,0.007129
31,26775.2,1.24641,0.76528,1.11652,0.75231,0.23977,0.31859,0.17847,1.59326,0.92863,1.05542,0.00703,0.00703,0.00703
