epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1986.27,4.11181,3.32546,2.43334,0.18673,0.07477,0.06418,0.02405,2.93528,2.23856,1.59554,0.0700186,0.00333126,0.00333126
2,3102.44,2.69231,1.94228,1.45791,0.40468,0.16153,0.17591,0.07527,2.36974,1.69281,1.31711,0.0399527,0.00659862,0.00659862
3,4006.08,2.31557,1.56226,1.28872,0.53074,0.21189,0.24614,0.11645,2.01999,1.33347,1.18153,0.00982067,0.00979997,0.00979997
4,4827.11,2.10412,1.37415,1.20781,0.6328,0.23625,0.28372,0.13796,1.89386,1.15892,1.12893,0.009703,0.009703,0.009703
5,5559.77,1.98672,1.25008,1.16327,0.64164,0.2463,0.29705,0.1496,1.82817,1.08077,1.11356,0.009604,0.009604,0.009604
6,6251.74,1.91872,1.18094,1.13592,0.66407,0.25821,0.31259,0.15953,1.74642,1.01741,1.08604,0.009505,0.009505,0.009505
7,6905.71,1.8614,1.13318,1.12334,0.6815,0.26951,0.32633,0.16534,1.72158,0.97359,1.07821,0.009406,0.009406,0.009406
8,10399.2,1.82521,1.09615,1.11302,0.67826,0.27212,0.32976,0.16525,1.72495,0.96959,1.0676,0.009307,0.009307,0.009307
9,11180.1,1.79409,1.06524,1.10706,0.70475,0.27421,0.33737,0.178,1.66754,0.92133,1.0595,0.009208,0.009208,0.009208
10,12006.7,1.76566,1.03335,1.09407,0.69631,0.27909,0.34352,0.18131,1.6508,0.90764,1.05463,0.009109,0.009109,0.009109
11,12715.2,1.76052,1.02756,1.091,0.72146,0.28401,0.35225,0.18681,1.63543,0.88953,1.04982,0.00901,0.00901,0.00901
12,13354.3,1.73344,0.99914,1.08672,0.71784,0.28604,0.35165,0.18727,1.62453,0.86917,1.04159,0.008911,0.008911,0.008911
13,13960.2,1.71976,0.98411,1.07671,0.72024,0.29293,0.35755,0.18958,1.60641,0.85938,1.03517,0.008812,0.008812,0.008812
14,14604.1,1.71796,0.97668,1.07333,0.72529,0.29364,0.36078,0.19202,1.59531,0.8494,1.03518,0.008713,0.008713,0.008713
15,18707.2,1.69971,0.96693,1.07347,0.73147,0.29479,0.36189,0.19406,1.58278,0.84399,1.03282,0.008614,0.008614,0.008614
16,19328.6,1.68494,0.95349,1.06664,0.72167,0.29753,0.36466,0.19679,1.57647,0.83081,1.02746,0.008515,0.008515,0.008515
17,19965.9,1.67148,0.93784,1.06359,0.74295,0.29787,0.3695,0.20086,1.56341,0.82237,1.0295,0.008416,0.008416,0.008416
18,20664.9,1.65743,0.93061,1.0599,0.74047,0.30181,0.37129,0.19979,1.54936,0.81288,1.02494,0.008317,0.008317,0.008317
19,21401.4,1.66104,0.92888,1.06072,0.74873,0.3029,0.37265,0.20192,1.55066,0.80644,1.0239,0.008218,0.008218,0.008218
20,23248.2,1.65691,0.92569,1.05463,0.74497,0.30285,0.37438,0.20264,1.54634,0.79826,1.02074,0.008119,0.008119,0.008119
21,25613.3,1.65379,0.91796,1.0571,0.7441,0.30552,0.37805,0.20574,1.5296,0.79223,1.01572,0.00802,0.00802,0.00802
22,26226.3,1.63437,0.9051,1.05254,0.74942,0.30603,0.37792,0.20645,1.53208,0.78902,1.01723,0.007921,0.007921,0.007921
23,26876.2,1.63246,0.90505,1.04848,0.74507,0.30807,0.37945,0.20722,1.52811,0.78187,1.01816,0.007822,0.007822,0.007822
24,27614.9,1.63083,0.90289,1.04591,0.75385,0.30759,0.3799,0.20737,1.52129,0.77878,1.01428,0.007723,0.007723,0.007723
25,28344.8,1.60765,0.88516,1.04537,0.7508,0.31152,0.38364,0.21022,1.51795,0.76903,1.0119,0.007624,0.007624,0.007624
26,31920.2,1.60696,0.88625,1.0454,0.75583,0.30955,0.38341,0.21001,1.5094,0.76923,1.01039,0.007525,0.007525,0.007525
27,32521.3,1.61461,0.88562,1.0469,0.76324,0.30988,0.38574,0.21281,1.50508,0.75692,1.01179,0.007426,0.007426,0.007426
28,33155.5,1.61021,0.88649,1.04345,0.75312,0.31258,0.3843,0.21243,1.50395,0.75514,1.00771,0.007327,0.007327,0.007327
29,33837.7,1.60624,0.88349,1.04684,0.75752,0.31288,0.38435,0.21233,1.49537,0.75197,1.00599,0.007228,0.007228,0.007228
30,34537.6,1.59775,0.86874,1.03896,0.76319,0.31406,0.39031,0.21551,1.49422,0.74686,1.00424,0.007129,0.007129,0.007129
31,35264.8,1.59546,0.87209,1.041,0.76218,0.31495,0.38901,0.21599,1.49197,0.74539,1.00324,0.00703,0.00703,0.00703
32,35987.5,1.58474,0.85939,1.03726,0.76774,0.31469,0.39038,0.21717,1.48538,0.74057,1.00353,0.006931,0.006931,0.006931
33,43203.3,1.58542,0.85562,1.03269,0.76388,0.31618,0.39325,0.2184,1.48172,0.73505,1.00153,0.006832,0.006832,0.006832
34,43778.6,1.57948,0.85361,1.03774,0.76637,0.31789,0.39333,0.21871,1.47797,0.73394,1.00032,0.006733,0.006733,0.006733
35,44424.5,1.56944,0.84649,1.03497,0.7644,0.31754,0.39318,0.21914,1.47977,0.73126,1.0009,0.006634,0.006634,0.006634
36,44995.7,1.56991,0.84515,1.03138,0.76762,0.31681,0.39493,0.21991,1.47706,0.72994,1.00035,0.006535,0.006535,0.006535
37,45569.5,1.56508,0.8422,1.03189,0.76247,0.319,0.39442,0.21994,1.47353,0.72726,1.00058,0.006436,0.006436,0.006436
38,46142.5,1.57083,0.8442,1.0287,0.76995,0.32011,0.39849,0.22197,1.46915,0.72255,0.99715,0.006337,0.006337,0.006337
