epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1871.84,4.05039,3.18838,2.41985,0.20278,0.07913,0.07296,0.02856,2.77676,2.33205,1.53148,0.0700186,0.00333126,0.00333126
2,7771.01,2.63309,1.8616,1.41968,0.45112,0.17833,0.20046,0.08973,2.27035,1.50214,1.28012,0.0398867,0.00653264,0.00653264
3,8557.54,2.30725,1.53432,1.27415,0.53747,0.21659,0.25119,0.11461,2.039,1.30443,1.17589,0.00962272,0.00960201,0.00960201
4,9294.9,2.10528,1.35864,1.20194,0.61218,0.23395,0.27952,0.1348,1.9059,1.14063,1.13434,0.009406,0.009406,0.009406
5,12012.8,1.9898,1.24145,1.15519,0.6363,0.24768,0.2979,0.14986,1.8082,1.08354,1.10427,0.009208,0.009208,0.009208
6,15846.3,1.91444,1.16878,1.12684,0.67257,0.2531,0.30866,0.1556,1.76972,1.01396,1.0864,0.00901,0.00901,0.00901
7,16457.1,1.85155,1.11378,1.11299,0.68108,0.26776,0.32647,0.16488,1.73658,0.95747,1.07526,0.008812,0.008812,0.008812
8,17065.6,1.81526,1.07805,1.1039,0.69298,0.27308,0.33173,0.16683,1.71406,0.95365,1.05944,0.008614,0.008614,0.008614
9,17686.6,1.7816,1.04449,1.09608,0.70478,0.27459,0.33813,0.17828,1.6572,0.91912,1.0531,0.008416,0.008416,0.008416
10,18320.4,1.7532,1.02085,1.08371,0.70182,0.28275,0.34499,0.18216,1.63654,0.89355,1.046,0.008218,0.008218,0.008218
11,20125.8,1.74972,1.01277,1.08257,0.72993,0.28282,0.35055,0.18665,1.62464,0.87993,1.04379,0.00802,0.00802,0.00802
12,21745,1.72086,0.98085,1.07791,0.73337,0.2897,0.35362,0.18779,1.60863,0.8527,1.03434,0.007822,0.007822,0.007822
13,22332.6,1.70451,0.97013,1.06935,0.7227,0.29023,0.35329,0.19004,1.60283,0.84888,1.031,0.007624,0.007624,0.007624
14,22948.6,1.70435,0.96376,1.06506,0.72632,0.29315,0.35808,0.19114,1.58491,0.84397,1.03133,0.007426,0.007426,0.007426
15,23557.6,1.68123,0.94953,1.06446,0.7417,0.29587,0.3637,0.19479,1.5744,0.82823,1.02806,0.007228,0.007228,0.007228
16,24222.3,1.67372,0.93491,1.0611,0.74337,0.29706,0.36512,0.19829,1.5691,0.81649,1.02603,0.00703,0.00703,0.00703
17,24887.5,1.65685,0.92603,1.05529,0.74023,0.29824,0.3665,0.20024,1.55383,0.8062,1.02244,0.006832,0.006832,0.006832
18,25522.6,1.63998,0.91511,1.05165,0.74336,0.30111,0.36908,0.20237,1.5442,0.80052,1.01942,0.006634,0.006634,0.006634
19,26121.8,1.64245,0.91276,1.05174,0.74079,0.30235,0.37005,0.20168,1.54365,0.79729,1.01766,0.006436,0.006436,0.006436
20,26759.1,1.64157,0.90691,1.04842,0.75236,0.30167,0.3721,0.2033,1.53211,0.784,1.01331,0.006238,0.006238,0.006238
21,27346.7,1.63649,0.90008,1.04948,0.75263,0.30338,0.37588,0.20703,1.52604,0.77748,1.01249,0.00604,0.00604,0.00604
