epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4155.71,1.47939,0.77794,1.06723,0.82858,0.55152,0.62965,0.34078,1.39307,0.6701,1.07106,0.005842,0.005842,0.005842
44,4251.19,1.4736,0.77849,1.06697,0.83177,0.55154,0.63156,0.34245,1.39205,0.66742,1.0717,0.005743,0.005743,0.005743
45,4346.91,1.4711,0.77558,1.06338,0.83439,0.55076,0.6312,0.34274,1.39142,0.66682,1.06945,0.005644,0.005644,0.005644
46,4443.14,1.4705,0.7751,1.0586,0.82866,0.55519,0.63231,0.344,1.38856,0.66563,1.06792,0.005545,0.005545,0.005545
47,4539.63,1.47143,0.77184,1.05626,0.83134,0.55618,0.63445,0.34507,1.38724,0.66506,1.06754,0.005446,0.005446,0.005446
48,4636.4,1.4638,0.76742,1.05542,0.8322,0.55586,0.63467,0.34554,1.38457,0.66213,1.06517,0.005347,0.005347,0.005347
49,4733.19,1.46321,0.76454,1.05362,0.83638,0.55507,0.6348,0.34484,1.38644,0.66058,1.06392,0.005248,0.005248,0.005248
50,4829.93,1.46796,0.76676,1.0525,0.83723,0.55499,0.63544,0.34618,1.38459,0.65823,1.06334,0.005149,0.005149,0.005149
51,4927.21,1.44971,0.7558,1.05198,0.83258,0.55837,0.63759,0.34762,1.38277,0.65693,1.06296,0.00505,0.00505,0.00505
52,5024.3,1.45493,0.7591,1.05375,0.8313,0.56122,0.63871,0.34894,1.38045,0.65441,1.06215,0.004951,0.004951,0.004951
53,5120.82,1.46109,0.75761,1.05311,0.83212,0.55964,0.6382,0.34801,1.38097,0.65228,1.06208,0.004852,0.004852,0.004852
54,5216.83,1.45074,0.75736,1.04935,0.83442,0.56101,0.63987,0.34847,1.38075,0.6515,1.06145,0.004753,0.004753,0.004753
55,5312.29,1.45092,0.75196,1.04898,0.83259,0.56373,0.64148,0.34961,1.37872,0.65068,1.06082,0.004654,0.004654,0.004654
56,5407.55,1.44454,0.74789,1.04843,0.83328,0.56323,0.64181,0.3502,1.37678,0.64982,1.05958,0.004555,0.004555,0.004555
57,5503.23,1.4365,0.74215,1.047,0.83474,0.56227,0.64151,0.35016,1.37687,0.64806,1.06006,0.004456,0.004456,0.004456
58,5598.63,1.43629,0.74387,1.0461,0.83356,0.56371,0.64279,0.35097,1.37599,0.64683,1.05954,0.004357,0.004357,0.004357
59,5694.32,1.4437,0.74231,1.0447,0.83127,0.56557,0.64336,0.35124,1.37532,0.64629,1.05934,0.004258,0.004258,0.004258
60,5790.09,1.44982,0.74919,1.04509,0.83262,0.5654,0.64364,0.35151,1.37449,0.64538,1.05875,0.004159,0.004159,0.004159
61,5885.98,1.43357,0.74084,1.04721,0.8329,0.56629,0.64429,0.35192,1.37342,0.64428,1.058,0.00406,0.00406,0.00406
62,5981.86,1.43252,0.73728,1.04469,0.83779,0.56527,0.6452,0.35243,1.37291,0.64256,1.05765,0.003961,0.003961,0.003961
63,6077.2,1.42999,0.73676,1.04454,0.83611,0.56627,0.6454,0.35295,1.37205,0.64142,1.05709,0.003862,0.003862,0.003862
64,6172.71,1.43139,0.73401,1.04171,0.83732,0.56583,0.64551,0.35285,1.37191,0.64074,1.05704,0.003763,0.003763,0.003763
65,6267.97,1.43101,0.7297,1.04235,0.83759,0.56504,0.64549,0.353,1.37137,0.64023,1.05657,0.003664,0.003664,0.003664
66,6363.85,1.44487,0.7385,1.04181,0.83503,0.56793,0.64659,0.35325,1.37073,0.63955,1.05625,0.003565,0.003565,0.003565
67,6459.33,1.42643,0.727,1.03841,0.83642,0.56847,0.64728,0.35406,1.36981,0.63847,1.05595,0.003466,0.003466,0.003466
68,6555.25,1.43055,0.7301,1.04094,0.8369,0.56807,0.64738,0.35452,1.3689,0.63783,1.05574,0.003367,0.003367,0.003367
69,6650.47,1.42268,0.72572,1.03987,0.83584,0.56898,0.64786,0.35504,1.3682,0.63716,1.05578,0.003268,0.003268,0.003268
70,6746.37,1.42278,0.72804,1.03853,0.83619,0.56955,0.6485,0.35549,1.36773,0.63664,1.05566,0.003169,0.003169,0.003169
71,6842.48,1.41594,0.71965,1.03766,0.83796,0.56935,0.64877,0.35555,1.36741,0.63603,1.05548,0.00307,0.00307,0.00307
72,6938.08,1.43272,0.72534,1.03653,0.83758,0.5697,0.64849,0.35553,1.36669,0.63536,1.05508,0.002971,0.002971,0.002971
73,7033.63,1.41528,0.7201,1.03632,0.83721,0.56958,0.64855,0.35552,1.36618,0.63458,1.0548,0.002872,0.002872,0.002872
74,7129.6,1.41441,0.71699,1.03357,0.83699,0.56943,0.64905,0.35574,1.3659,0.63415,1.0546,0.002773,0.002773,0.002773
75,7225.23,1.41675,0.71925,1.0351,0.83506,0.57047,0.64887,0.35627,1.36539,0.63368,1.05443,0.002674,0.002674,0.002674
76,7320.03,1.42034,0.71838,1.03248,0.83519,0.57126,0.64923,0.35638,1.36504,0.63292,1.05426,0.002575,0.002575,0.002575
77,7415.82,1.40644,0.70514,1.03472,0.83519,0.57164,0.64952,0.35644,1.36522,0.63218,1.05433,0.002476,0.002476,0.002476
78,7511.57,1.41525,0.71135,1.03266,0.83523,0.57184,0.64977,0.35674,1.36512,0.6317,1.05422,0.002377,0.002377,0.002377
79,7607.59,1.40585,0.70731,1.03405,0.83589,0.57204,0.64996,0.35685,1.36491,0.63136,1.05394,0.002278,0.002278,0.002278
80,7703.32,1.4094,0.71204,1.03345,0.83576,0.5722,0.65021,0.35695,1.36484,0.63099,1.05388,0.002179,0.002179,0.002179
81,7798.5,1.40464,0.70662,1.03319,0.83606,0.57159,0.6502,0.35705,1.36481,0.63068,1.0539,0.00208,0.00208,0.00208
