epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1791.05,3.9774,3.12241,2.19401,0.23927,0.10808,0.09626,0.03772,2.75021,2.06074,1.51277,0.0700186,0.00333126,0.00333126
2,2833.33,2.60848,1.82449,1.38903,0.45549,0.18191,0.20413,0.09143,2.2283,1.51532,1.26024,0.0398867,0.00653264,0.00653264
3,3695.98,2.28697,1.52223,1.25667,0.53412,0.2176,0.25137,0.12063,1.98141,1.29118,1.16096,0.00962272,0.00960201,0.00960201
4,4501.72,2.08297,1.33995,1.18275,0.61306,0.23914,0.28372,0.13686,1.88404,1.129,1.10991,0.009406,0.009406,0.009406
5,5247.15,1.97244,1.2272,1.14593,0.63199,0.25287,0.30399,0.15395,1.79533,1.06135,1.08684,0.009208,0.009208,0.009208
6,6003.17,1.90288,1.15544,1.11987,0.67669,0.26149,0.31977,0.16416,1.73533,0.984,1.06841,0.00901,0.00901,0.00901
7,6662.82,1.84431,1.1079,1.10614,0.68282,0.27144,0.32976,0.16506,1.718,0.95226,1.06227,0.008812,0.008812,0.008812
8,7312.42,1.80569,1.07436,1.0977,0.69615,0.27469,0.33519,0.17047,1.69858,0.93842,1.05556,0.008614,0.008614,0.008614
9,7969.8,1.77553,1.04266,1.0914,0.70287,0.27968,0.3402,0.17821,1.64477,0.90443,1.04709,0.008416,0.008416,0.008416
10,8642.37,1.74834,1.01639,1.07921,0.70907,0.28565,0.34929,0.18153,1.64068,0.88994,1.04288,0.008218,0.008218,0.008218
11,9324.66,1.74281,1.00459,1.07838,0.72283,0.28828,0.35632,0.18885,1.61733,0.87,1.03451,0.00802,0.00802,0.00802
12,9987.46,1.70876,0.97485,1.07124,0.72508,0.29179,0.35644,0.19017,1.60035,0.84798,1.0291,0.007822,0.007822,0.007822
13,10624.8,1.69801,0.96308,1.06438,0.717,0.29353,0.35677,0.19041,1.59714,0.84619,1.02665,0.007624,0.007624,0.007624
14,11320.2,1.69732,0.95766,1.05825,0.71636,0.2966,0.36156,0.1953,1.57166,0.83005,1.01929,0.007426,0.007426,0.007426
15,11935.3,1.67719,0.94537,1.06009,0.73874,0.30008,0.36775,0.19788,1.5585,0.81723,1.02072,0.007228,0.007228,0.007228
16,12543,1.66577,0.93106,1.05473,0.73572,0.30069,0.36783,0.19805,1.55596,0.81016,1.01998,0.00703,0.00703,0.00703
17,13138.9,1.6534,0.92078,1.05132,0.74224,0.30252,0.37212,0.20288,1.54428,0.80034,1.01703,0.006832,0.006832,0.006832
18,13988.1,1.63657,0.9092,1.04609,0.73604,0.3056,0.37353,0.20386,1.53614,0.79457,1.01149,0.006634,0.006634,0.006634
19,15386.6,1.6354,0.90724,1.04619,0.74879,0.30658,0.37625,0.20481,1.53401,0.7901,1.01182,0.006436,0.006436,0.006436
20,16006.5,1.63468,0.90238,1.04296,0.74169,0.30865,0.37964,0.2074,1.52396,0.78226,1.00814,0.006238,0.006238,0.006238
21,16589,1.62897,0.89633,1.04505,0.7502,0.30721,0.3798,0.20793,1.52054,0.77711,1.00833,0.00604,0.00604,0.00604
22,17187.1,1.61178,0.88119,1.04042,0.74605,0.3094,0.38277,0.211,1.51122,0.77032,1.00534,0.005842,0.005842,0.005842
23,17797.8,1.6053,0.88071,1.03396,0.76456,0.3093,0.38423,0.21189,1.50811,0.7657,1.00283,0.005644,0.005644,0.005644
24,18447.3,1.60519,0.87977,1.03279,0.75665,0.30973,0.38344,0.21135,1.50556,0.75982,1.00256,0.005446,0.005446,0.005446
25,25851.6,1.58138,0.86273,1.03135,0.7499,0.31336,0.38649,0.21324,1.50073,0.75403,1.00072,0.005248,0.005248,0.005248
26,26398.9,1.57837,0.85321,1.0311,0.74505,0.31552,0.38721,0.21323,1.49837,0.75041,1.00166,0.00505,0.00505,0.00505
27,27003,1.58275,0.85356,1.03053,0.756,0.31525,0.39196,0.21731,1.48656,0.74103,0.99983,0.004852,0.004852,0.004852
28,27603.1,1.57912,0.85381,1.0296,0.75654,0.31634,0.38988,0.21636,1.48254,0.74055,0.99661,0.004654,0.004654,0.004654
29,28158.2,1.5746,0.85074,1.03187,0.759,0.31777,0.39053,0.21712,1.47514,0.73533,0.9952,0.004456,0.004456,0.004456
30,28721.4,1.56276,0.83549,1.02473,0.7586,0.31865,0.39421,0.21919,1.47265,0.7301,0.99391,0.004258,0.004258,0.004258
31,29322.2,1.56239,0.84148,1.02597,0.76572,0.31875,0.39404,0.2192,1.47389,0.7295,0.99435,0.00406,0.00406,0.00406
32,30853.8,1.55294,0.82813,1.02283,0.75902,0.31958,0.39473,0.22034,1.4692,0.72633,0.99445,0.003862,0.003862,0.003862
33,31414.4,1.54968,0.82026,1.01894,0.76015,0.32119,0.39706,0.22115,1.46197,0.7216,0.99234,0.003664,0.003664,0.003664
34,31974.9,1.54305,0.81969,1.02195,0.77013,0.32101,0.39889,0.22255,1.46303,0.72183,0.99232,0.003466,0.003466,0.003466
35,32553.9,1.53367,0.81116,1.02051,0.76202,0.322,0.39736,0.22201,1.46318,0.7169,0.99147,0.003268,0.003268,0.003268
36,33184.5,1.53022,0.80693,1.01482,0.77097,0.32162,0.39917,0.224,1.45849,0.71438,0.99103,0.00307,0.00307,0.00307
37,33792.3,1.52639,0.80116,1.01482,0.76663,0.32346,0.39924,0.22433,1.45637,0.71167,0.99029,0.002872,0.002872,0.002872
38,34912.3,1.52996,0.80254,1.01232,0.7687,0.32318,0.40039,0.22533,1.45359,0.70863,0.98929,0.002674,0.002674,0.002674
39,35482.7,1.51808,0.80063,1.0112,0.76725,0.32381,0.40054,0.22525,1.44852,0.70769,0.98688,0.002476,0.002476,0.002476
40,36074.3,1.52047,0.79561,1.01044,0.7712,0.32467,0.40307,0.22662,1.44744,0.70501,0.98735,0.002278,0.002278,0.002278
41,36719.5,1.47999,0.75615,1.00957,0.76416,0.32278,0.40078,0.22564,1.45096,0.70595,0.98739,0.00208,0.00208,0.00208
42,37350.5,1.47715,0.75245,1.00605,0.77379,0.32139,0.40161,0.22613,1.45133,0.70432,0.98699,0.001882,0.001882,0.001882
43,38002.1,1.4705,0.74551,1.00198,0.76556,0.32295,0.40359,0.22724,1.44887,0.702,0.98626,0.001684,0.001684,0.001684
44,40200.7,1.47124,0.74007,1.00254,0.76943,0.3229,0.40455,0.2283,1.44719,0.70043,0.98628,0.001486,0.001486,0.001486
45,41704.2,1.45984,0.73344,1.00222,0.76436,0.32374,0.40522,0.2287,1.44792,0.69936,0.9859,0.001288,0.001288,0.001288
46,42264.7,1.45584,0.73216,0.99814,0.76705,0.32517,0.40672,0.22962,1.44483,0.69705,0.98479,0.00109,0.00109,0.00109
47,42854.5,1.44585,0.72282,0.99732,0.76982,0.32527,0.40745,0.23051,1.44234,0.69534,0.9845,0.000892,0.000892,0.000892
48,43488.2,1.45103,0.72327,0.99742,0.76688,0.3255,0.40783,0.23071,1.44189,0.69483,0.98449,0.000694,0.000694,0.000694
