epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1719.31,3.69834,3.51843,2.63799,0.21906,0.11399,0.08819,0.03239,2.73672,2.5618,1.91309,0.0700186,0.00333126,0.00333126
2,1888.36,2.56531,2.14163,1.67352,0.49947,0.21448,0.24318,0.1129,2.18919,1.684,1.53997,0.0399527,0.00659862,0.00659862
3,2053.71,2.26279,1.75048,1.47388,0.58086,0.2494,0.29389,0.14535,2.01939,1.44575,1.39797,0.00982067,0.00979997,0.00979997
4,2217.76,2.11474,1.55975,1.36521,0.64227,0.26796,0.32371,0.16604,1.92003,1.33006,1.31976,0.009703,0.009703,0.009703
5,2382.34,2.01256,1.43804,1.31527,0.6703,0.28542,0.34393,0.1797,1.82793,1.21374,1.27038,0.009604,0.009604,0.009604
6,2546.03,1.94999,1.35614,1.27728,0.67838,0.29592,0.35178,0.18718,1.78575,1.16946,1.25655,0.009505,0.009505,0.009505
7,2711.09,1.91685,1.30199,1.25731,0.69093,0.30091,0.35405,0.18772,1.75592,1.16943,1.23371,0.009406,0.009406,0.009406
8,2875.55,1.87155,1.25322,1.24264,0.70867,0.3116,0.37587,0.20299,1.73202,1.08218,1.21176,0.009307,0.009307,0.009307
9,3038.29,1.85855,1.23412,1.23326,0.69747,0.31158,0.37433,0.20342,1.70553,1.06586,1.20292,0.009208,0.009208,0.009208
10,3201.95,1.82199,1.18994,1.2169,0.72179,0.31712,0.38437,0.2094,1.69574,1.03219,1.18897,0.009109,0.009109,0.009109
11,3365.24,1.8251,1.19655,1.2118,0.72789,0.31764,0.38612,0.21079,1.69283,1.02975,1.1889,0.00901,0.00901,0.00901
12,3529,1.78562,1.15035,1.19971,0.73308,0.32285,0.39156,0.21506,1.66823,1.00051,1.17239,0.008911,0.008911,0.008911
13,339.757,1.80852,1.16037,1.1948,0.73035,0.32693,0.39565,0.21702,1.67416,1.02095,1.16476,0.008812,0.008812,0.008812
14,507.99,1.80245,1.15499,1.17788,0.73999,0.32515,0.39399,0.21787,1.67002,1.02592,1.15213,0.008713,0.008713,0.008713
15,676.366,1.7896,1.1482,1.17496,0.74307,0.32847,0.39719,0.22055,1.65236,1.01025,1.14287,0.008614,0.008614,0.008614
16,844.973,1.789,1.14341,1.16146,0.74563,0.32918,0.4016,0.2232,1.65456,0.98663,1.14281,0.008515,0.008515,0.008515
17,1013.21,1.77448,1.13423,1.15796,0.75323,0.33099,0.4032,0.22521,1.64582,0.97867,1.13503,0.008416,0.008416,0.008416
18,1181.55,1.76399,1.11681,1.14738,0.75627,0.33346,0.40693,0.22789,1.63209,0.96574,1.12634,0.008317,0.008317,0.008317
19,1350.24,1.76477,1.11661,1.14189,0.75744,0.33457,0.40633,0.22769,1.63275,0.9681,1.12172,0.008218,0.008218,0.008218
20,1520.34,1.74289,1.09845,1.14132,0.76578,0.33752,0.41023,0.23058,1.62485,0.95349,1.11587,0.008119,0.008119,0.008119
21,1688.97,1.74889,1.10511,1.13881,0.75787,0.34029,0.4138,0.23299,1.61536,0.946,1.11441,0.00802,0.00802,0.00802
22,1858.94,1.72637,1.08056,1.13011,0.75995,0.3424,0.41466,0.23301,1.62285,0.93728,1.11255,0.007921,0.007921,0.007921
23,2027.72,1.74198,1.09449,1.13146,0.75931,0.34452,0.41706,0.23448,1.61221,0.92573,1.11133,0.007822,0.007822,0.007822
24,2196.64,1.71039,1.06274,1.1254,0.76767,0.34507,0.41993,0.23688,1.6028,0.91986,1.10245,0.007723,0.007723,0.007723
25,2365.38,1.72868,1.0791,1.12344,0.76621,0.34568,0.4198,0.23651,1.59966,0.91957,1.09909,0.007624,0.007624,0.007624
26,2534.63,1.7111,1.06367,1.11802,0.76472,0.34734,0.42237,0.23885,1.59515,0.90825,1.0971,0.007525,0.007525,0.007525
27,2703.65,1.72059,1.06812,1.11812,0.77015,0.34625,0.42096,0.23914,1.58679,0.90212,1.09192,0.007426,0.007426,0.007426
28,2871.14,1.70803,1.05437,1.11166,0.7792,0.34825,0.42539,0.2421,1.58362,0.89359,1.08972,0.007327,0.007327,0.007327
