epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,370.751,3.45047,3.79689,3.01285,0.29219,0.17196,0.13306,0.04984,2.52931,2.61042,2.21217,0.0700373,0.00332919,0.00332919
2,503.309,2.40051,2.21169,1.83875,0.55338,0.31222,0.33313,0.15627,2.05763,1.79752,1.70689,0.0399713,0.00659657,0.00659657
3,634.347,2.14245,1.81143,1.60112,0.64195,0.37908,0.42116,0.20034,1.88858,1.64093,1.53027,0.00983935,0.00979794,0.00979794
4,761.819,1.97051,1.55601,1.46679,0.7059,0.41883,0.48138,0.23906,1.7993,1.33654,1.43033,0.009703,0.009703,0.009703
5,889.425,1.8845,1.42495,1.4007,0.73868,0.44788,0.51595,0.26516,1.71213,1.21091,1.37712,0.009604,0.009604,0.009604
6,1017.85,1.83395,1.3207,1.34359,0.75202,0.46969,0.54069,0.27775,1.68761,1.14469,1.33551,0.009505,0.009505,0.009505
7,1144.97,1.7768,1.24748,1.32053,0.76546,0.49335,0.56242,0.29051,1.6623,1.11952,1.31903,0.009406,0.009406,0.009406
8,1274.9,1.75648,1.20199,1.29575,0.7727,0.49542,0.57057,0.29367,1.64739,1.05616,1.30092,0.009307,0.009307,0.009307
9,1402.6,1.74121,1.18465,1.28178,0.7855,0.49852,0.58121,0.30923,1.60563,1.02628,1.27446,0.009208,0.009208,0.009208
10,1529.61,1.72481,1.15617,1.26184,0.79944,0.52224,0.59801,0.31402,1.60728,1.03449,1.25894,0.009109,0.009109,0.009109
11,1656.13,1.71483,1.14303,1.24697,0.80391,0.52161,0.5991,0.312,1.61373,0.99757,1.25591,0.00901,0.00901,0.00901
12,1783.93,1.69376,1.11734,1.23156,0.79982,0.5259,0.60625,0.31832,1.6015,0.98752,1.23971,0.008911,0.008911,0.008911
13,1912.87,1.69854,1.11329,1.22773,0.8112,0.53707,0.61602,0.32655,1.58461,0.97681,1.23108,0.008812,0.008812,0.008812
14,2040.58,1.67621,1.08393,1.22056,0.81287,0.53235,0.61723,0.33084,1.57357,0.93991,1.2232,0.008713,0.008713,0.008713
15,2169.35,1.67791,1.08212,1.21338,0.81863,0.53784,0.6227,0.33329,1.56228,0.94989,1.21498,0.008614,0.008614,0.008614
16,2297.86,1.67566,1.06533,1.20076,0.81312,0.54897,0.63135,0.33671,1.55832,0.92569,1.20729,0.008515,0.008515,0.008515
17,2425.4,1.66136,1.05126,1.19762,0.82534,0.55341,0.63763,0.34204,1.54619,0.91543,1.19975,0.008416,0.008416,0.008416
18,2552.42,1.64976,1.03985,1.18903,0.82706,0.54996,0.63548,0.34044,1.55028,0.91029,1.19834,0.008317,0.008317,0.008317
19,2680.66,1.64687,1.02924,1.18365,0.8259,0.5592,0.64379,0.34791,1.53502,0.89076,1.18839,0.008218,0.008218,0.008218
20,2809.33,1.63562,1.02094,1.17586,0.82784,0.55955,0.64403,0.34766,1.5303,0.88965,1.18906,0.008119,0.008119,0.008119
21,2936.29,1.63898,1.01592,1.17882,0.82563,0.56444,0.64828,0.35034,1.5335,0.87929,1.18784,0.00802,0.00802,0.00802
22,3063.35,1.62943,1.00907,1.1741,0.83235,0.56305,0.6501,0.35139,1.5217,0.87705,1.18045,0.007921,0.007921,0.007921
23,3190.37,1.62801,1.0049,1.166,0.83096,0.56778,0.65475,0.35499,1.52295,0.87124,1.17601,0.007822,0.007822,0.007822
24,3317.62,1.62874,1.00394,1.16795,0.83036,0.57162,0.65542,0.35454,1.52137,0.8665,1.17302,0.007723,0.007723,0.007723
25,3445.39,1.61575,0.99141,1.16256,0.83315,0.57018,0.6567,0.35547,1.51647,0.85997,1.16938,0.007624,0.007624,0.007624
26,3574.52,1.61744,0.98846,1.16471,0.83532,0.57386,0.66002,0.35611,1.5191,0.85705,1.17046,0.007525,0.007525,0.007525
27,3702.65,1.62125,0.99094,1.16089,0.83359,0.57935,0.66379,0.35972,1.50487,0.85137,1.16166,0.007426,0.007426,0.007426
28,3828.91,1.60783,0.98037,1.15597,0.83271,0.58001,0.66475,0.36005,1.50883,0.84573,1.16277,0.007327,0.007327,0.007327
29,3956.14,1.60659,0.97183,1.15162,0.83439,0.58278,0.6684,0.3637,1.50262,0.83885,1.1561,0.007228,0.007228,0.007228
30,4081.78,1.59568,0.96733,1.15285,0.84035,0.58159,0.66827,0.36421,1.49588,0.83388,1.15711,0.007129,0.007129,0.007129
31,4208.94,1.6002,0.9615,1.15293,0.83885,0.58505,0.67052,0.36428,1.50077,0.82994,1.15791,0.00703,0.00703,0.00703
32,4334.79,1.6049,0.96665,1.14779,0.83812,0.58457,0.66917,0.36351,1.49841,0.83067,1.15604,0.006931,0.006931,0.006931
33,4460.66,1.5946,0.95991,1.14789,0.83948,0.585,0.67192,0.36638,1.49093,0.82486,1.15138,0.006832,0.006832,0.006832
34,4586.56,1.58788,0.95469,1.14826,0.83395,0.59299,0.67462,0.36776,1.4909,0.82194,1.15067,0.006733,0.006733,0.006733
35,4714.2,1.59108,0.95157,1.14313,0.84194,0.5872,0.67393,0.36819,1.48517,0.81978,1.14658,0.006634,0.006634,0.006634
36,4841.35,1.57999,0.93867,1.14038,0.84148,0.59084,0.67778,0.37134,1.48437,0.80902,1.14666,0.006535,0.006535,0.006535
37,4968.86,1.5831,0.94437,1.13869,0.84173,0.59246,0.67787,0.37161,1.48299,0.8095,1.14499,0.006436,0.006436,0.006436
38,5096.23,1.5751,0.93533,1.14021,0.8407,0.59104,0.67934,0.37186,1.48339,0.81009,1.14423,0.006337,0.006337,0.006337
39,5223.07,1.58009,0.93898,1.13601,0.84052,0.59693,0.68143,0.37361,1.47843,0.80419,1.14278,0.006238,0.006238,0.006238
40,5350.51,1.57705,0.93392,1.13392,0.84322,0.59502,0.6812,0.3739,1.47784,0.80284,1.14119,0.006139,0.006139,0.006139
41,5476.15,1.57031,0.9287,1.13424,0.84763,0.59363,0.68411,0.37424,1.47797,0.79787,1.14004,0.00604,0.00604,0.00604
42,5603.19,1.57854,0.9349,1.13655,0.84736,0.59558,0.6842,0.3744,1.4791,0.79738,1.14074,0.005941,0.005941,0.005941
43,5732,1.57276,0.92699,1.13228,0.84681,0.59714,0.68432,0.37495,1.47364,0.79371,1.13752,0.005842,0.005842,0.005842
44,5858.47,1.57472,0.92865,1.13157,0.84727,0.59739,0.68567,0.3759,1.47569,0.79412,1.13789,0.005743,0.005743,0.005743
45,5985.66,1.56554,0.92408,1.12814,0.84576,0.59797,0.68576,0.37628,1.47202,0.79271,1.1341,0.005644,0.005644,0.005644
46,6112.69,1.56785,0.92209,1.12671,0.8489,0.59796,0.68693,0.3783,1.46756,0.7898,1.13244,0.005545,0.005545,0.005545
47,6240.07,1.56974,0.91717,1.12193,0.84747,0.6014,0.68828,0.37874,1.46792,0.78775,1.13164,0.005446,0.005446,0.005446
48,6366.71,1.56175,0.91432,1.12278,0.84866,0.60187,0.68908,0.37966,1.46826,0.78584,1.13066,0.005347,0.005347,0.005347
49,6494.9,1.56439,0.91308,1.12059,0.84797,0.60334,0.69001,0.37885,1.46868,0.78355,1.12934,0.005248,0.005248,0.005248
50,6622.39,1.56322,0.91008,1.1197,0.84648,0.60515,0.69105,0.37999,1.46637,0.78159,1.12951,0.005149,0.005149,0.005149
