epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,52497.6,1.59002,0.85867,1.00575,0.77169,0.32321,0.39954,0.22459,1.48132,0.73653,0.97874,0.005842,0.005842,0.005842
44,53065.6,1.58155,0.85578,1.01028,0.77053,0.32537,0.40153,0.22614,1.47786,0.73363,0.97754,0.005743,0.005743,0.005743
45,53645.1,1.57287,0.84268,0.99877,0.77477,0.3255,0.404,0.22795,1.47187,0.73006,0.97532,0.005644,0.005644,0.005644
46,54227,1.58124,0.8596,1.00434,0.7772,0.32619,0.40529,0.2287,1.46901,0.72652,0.97354,0.005545,0.005545,0.005545
47,54831,1.57147,0.84604,1.00189,0.77997,0.32658,0.40571,0.22835,1.468,0.72594,0.97217,0.005446,0.005446,0.005446
48,55412.3,1.56727,0.84482,0.99958,0.77361,0.32862,0.40566,0.2287,1.46644,0.72281,0.97287,0.005347,0.005347,0.005347
49,55978.3,1.56982,0.84506,0.99834,0.7758,0.32852,0.40593,0.2296,1.46614,0.72184,0.97249,0.005248,0.005248,0.005248
50,57564.8,1.55596,0.8361,0.996,0.77792,0.32875,0.40643,0.22997,1.46231,0.71883,0.97187,0.005149,0.005149,0.005149
51,58170.6,1.56763,0.84004,0.99781,0.7787,0.32834,0.40722,0.23044,1.46132,0.71552,0.97181,0.00505,0.00505,0.00505
52,58731.2,1.55273,0.83326,0.99982,0.77699,0.32913,0.40813,0.2313,1.45838,0.71473,0.97073,0.004951,0.004951,0.004951
53,64587,1.55468,0.83312,0.99556,0.77932,0.32822,0.40693,0.23067,1.45751,0.71353,0.97004,0.004852,0.004852,0.004852
54,65152.2,1.55332,0.82809,0.99382,0.78251,0.32935,0.40865,0.23158,1.45606,0.7108,0.96974,0.004753,0.004753,0.004753
55,65729.8,1.54548,0.82449,0.99302,0.7752,0.33091,0.40886,0.23163,1.4525,0.70916,0.96902,0.004654,0.004654,0.004654
56,66286.4,1.54824,0.82254,0.99252,0.77811,0.33181,0.40982,0.2322,1.45084,0.70745,0.96827,0.004555,0.004555,0.004555
57,68782.1,1.55163,0.82565,0.9912,0.77562,0.33217,0.41023,0.23259,1.44969,0.70601,0.96793,0.004456,0.004456,0.004456
58,73430.5,1.53581,0.81869,0.99146,0.77436,0.33094,0.40973,0.2328,1.4488,0.70451,0.96783,0.004357,0.004357,0.004357
59,74014,1.54631,0.82086,0.98939,0.77557,0.33298,0.41178,0.23441,1.4473,0.70257,0.96717,0.004258,0.004258,0.004258
60,74596.9,1.53953,0.81603,0.99406,0.77183,0.33366,0.41238,0.23456,1.4459,0.70114,0.96669,0.004159,0.004159,0.004159
61,75172.1,1.53518,0.81196,0.98475,0.77429,0.33351,0.41296,0.23523,1.44476,0.69907,0.96648,0.00406,0.00406,0.00406
62,75839.3,1.52137,0.8027,0.98965,0.77499,0.33411,0.41336,0.23542,1.44329,0.69788,0.96586,0.003961,0.003961,0.003961
63,76439.4,1.5383,0.81657,0.98877,0.77809,0.33447,0.41361,0.23591,1.44212,0.69746,0.9657,0.003862,0.003862,0.003862
64,77131,1.52116,0.80176,0.98607,0.77876,0.33293,0.41295,0.23474,1.44159,0.69669,0.96555,0.003763,0.003763,0.003763
65,77898.9,1.52397,0.80442,0.98696,0.77632,0.33117,0.41107,0.23348,1.44051,0.69532,0.96517,0.003664,0.003664,0.003664
66,78636,1.51797,0.80373,0.98368,0.78145,0.3322,0.41279,0.23483,1.43938,0.69399,0.96497,0.003565,0.003565,0.003565
67,79356.2,1.52313,0.80048,0.98405,0.77987,0.33207,0.41287,0.23475,1.43781,0.69281,0.96463,0.003466,0.003466,0.003466
68,80071.5,1.52274,0.80126,0.98617,0.78102,0.3328,0.41377,0.23529,1.43668,0.69166,0.96425,0.003367,0.003367,0.003367
69,80753.9,1.51074,0.79436,0.98384,0.78146,0.33202,0.41338,0.23546,1.43598,0.69068,0.96407,0.003268,0.003268,0.003268
70,81382,1.51254,0.79353,0.98362,0.78563,0.33401,0.41547,0.23682,1.43572,0.68984,0.96389,0.003169,0.003169,0.003169
71,82055.8,1.5113,0.78917,0.98341,0.7864,0.33064,0.4127,0.2352,1.43531,0.68936,0.96394,0.00307,0.00307,0.00307
72,82702,1.51398,0.79351,0.9839,0.78612,0.33338,0.41476,0.23633,1.43466,0.68899,0.96353,0.002971,0.002971,0.002971
73,83358.4,1.50544,0.78698,0.98097,0.78649,0.33484,0.41651,0.23718,1.43417,0.68843,0.96335,0.002872,0.002872,0.002872
74,83989.6,1.51185,0.78804,0.98038,0.78395,0.33584,0.4169,0.23746,1.43356,0.68772,0.96313,0.002773,0.002773,0.002773
75,84645.4,1.49922,0.78073,0.98232,0.78491,0.3356,0.41736,0.23773,1.43296,0.6873,0.96299,0.002674,0.002674,0.002674
76,85310.2,1.50668,0.78247,0.98162,0.78204,0.33643,0.41754,0.23798,1.43243,0.68672,0.96294,0.002575,0.002575,0.002575
77,85961.3,1.50932,0.78498,0.98089,0.78131,0.33618,0.41731,0.23781,1.43182,0.68624,0.96285,0.002476,0.002476,0.002476
78,86622.7,1.49886,0.7769,0.97649,0.78116,0.33681,0.41817,0.23838,1.4312,0.68554,0.96255,0.002377,0.002377,0.002377
79,87287.2,1.49646,0.77489,0.97786,0.78113,0.33701,0.41854,0.23856,1.43056,0.6849,0.9624,0.002278,0.002278,0.002278
80,87918.5,1.49617,0.77739,0.97762,0.7842,0.33689,0.41906,0.23877,1.43011,0.68432,0.96235,0.002179,0.002179,0.002179
81,88554.4,1.49616,0.77403,0.97665,0.78429,0.33711,0.41946,0.23898,1.42959,0.68371,0.96228,0.00208,0.00208,0.00208
82,89220.6,1.48633,0.76875,0.97793,0.78592,0.33706,0.41951,0.23902,1.4291,0.68322,0.96222,0.001981,0.001981,0.001981
83,89905,1.48835,0.76691,0.97379,0.78329,0.33757,0.41997,0.23923,1.42866,0.68272,0.9621,0.001882,0.001882,0.001882
84,90651.6,1.48559,0.7652,0.97478,0.78357,0.33754,0.41975,0.23917,1.42837,0.68218,0.96199,0.001783,0.001783,0.001783
85,91275,1.46903,0.75956,0.97611,0.78459,0.3358,0.41748,0.23826,1.42805,0.68173,0.96187,0.001684,0.001684,0.001684
86,91908.2,1.4847,0.7625,0.97296,0.78515,0.33802,0.42025,0.23965,1.42779,0.68132,0.9618,0.001585,0.001585,0.001585
87,92602,1.47643,0.7591,0.97522,0.78515,0.3382,0.42023,0.23967,1.42745,0.68091,0.96174,0.001486,0.001486,0.001486
88,93313.4,1.46967,0.75452,0.97357,0.78427,0.33849,0.42031,0.23972,1.42707,0.68053,0.96167,0.001387,0.001387,0.001387
89,93952.6,1.47197,0.75494,0.96926,0.7839,0.33845,0.42035,0.23999,1.42669,0.68,0.9616,0.001288,0.001288,0.001288
90,94610.3,1.47893,0.7567,0.96888,0.78415,0.33862,0.42064,0.24016,1.42637,0.67967,0.96144,0.001189,0.001189,0.001189
91,98701.4,1.43585,0.71599,0.97276,0.78513,0.33676,0.41887,0.23926,1.42621,0.67942,0.96137,0.00109,0.00109,0.00109
92,99268.1,1.43678,0.71235,0.96717,0.78373,0.33825,0.42001,0.23986,1.42606,0.67905,0.96138,0.000991,0.000991,0.000991
93,99850,1.42325,0.70786,0.96683,0.7847,0.33872,0.42107,0.24045,1.42581,0.67878,0.96131,0.000892,0.000892,0.000892
94,100461,1.42231,0.70342,0.96671,0.78247,0.33923,0.42134,0.24073,1.42559,0.67848,0.96126,0.000793,0.000793,0.000793
95,101136,1.42434,0.70322,0.96482,0.7829,0.33894,0.42159,0.24085,1.42527,0.67816,0.96111,0.000694,0.000694,0.000694
96,101868,1.42694,0.70532,0.9654,0.78378,0.33903,0.42196,0.24103,1.42496,0.67786,0.96096,0.000595,0.000595,0.000595
97,102597,1.41542,0.69489,0.96317,0.78402,0.33905,0.42189,0.24111,1.42466,0.67751,0.96085,0.000496,0.000496,0.000496
98,103278,1.41755,0.69688,0.9625,0.78473,0.33913,0.42228,0.24127,1.42448,0.67724,0.96081,0.000397,0.000397,0.000397
99,103942,1.41263,0.69366,0.96169,0.78529,0.3391,0.42248,0.24139,1.42425,0.67692,0.96068,0.000298,0.000298,0.000298
100,104625,1.41059,0.69173,0.95893,0.78677,0.33885,0.42258,0.24149,1.42402,0.67667,0.96058,0.000199,0.000199,0.000199
