epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1861.56,4.00853,3.1885,2.33147,0.21843,0.10001,0.08894,0.03535,2.76329,2.10817,1.51881,0.0700186,0.00333126,0.00333126
2,2821.99,2.61316,1.85249,1.4174,0.43759,0.17511,0.18511,0.08159,2.2402,1.61645,1.29868,0.0398867,0.00653264,0.00653264
3,3635.14,2.3081,1.54185,1.28663,0.56011,0.21778,0.25551,0.11892,2.02669,1.26466,1.18568,0.00962272,0.00960201,0.00960201
4,4415.22,2.10011,1.35676,1.20638,0.62454,0.23866,0.28487,0.13691,1.9048,1.14657,1.13825,0.009406,0.009406,0.009406
5,8072.13,1.98344,1.23871,1.16115,0.6482,0.24861,0.29958,0.15129,1.8064,1.07717,1.10846,0.009208,0.009208,0.009208
6,8762.41,1.91639,1.16709,1.13524,0.66457,0.25919,0.31335,0.15939,1.75691,1.00256,1.0913,0.00901,0.00901,0.00901
7,9437.48,1.8593,1.11733,1.12103,0.68102,0.26882,0.32767,0.16472,1.72776,0.96484,1.07592,0.008812,0.008812,0.008812
8,10143.4,1.82305,1.08019,1.10912,0.69996,0.27375,0.33451,0.16982,1.69856,0.94466,1.06514,0.008614,0.008614,0.008614
9,10887.8,1.78863,1.05069,1.10185,0.70749,0.27905,0.34036,0.17915,1.65772,0.91595,1.05903,0.008416,0.008416,0.008416
10,12454.4,1.76244,1.0225,1.09204,0.71574,0.28466,0.34898,0.18424,1.63698,0.88663,1.0501,0.008218,0.008218,0.008218
11,13083,1.75363,1.01386,1.087,0.70678,0.28514,0.34747,0.18294,1.63662,0.88076,1.04847,0.00802,0.00802,0.00802
12,13722.6,1.72512,0.98677,1.08414,0.73115,0.28963,0.35562,0.18833,1.60832,0.85343,1.04101,0.007822,0.007822,0.007822
13,14347.5,1.70981,0.97579,1.07406,0.72878,0.29,0.3549,0.18817,1.6089,0.85201,1.03677,0.007624,0.007624,0.007624
14,15043.3,1.7057,0.96288,1.06919,0.72242,0.29523,0.36144,0.19282,1.58508,0.838,1.03174,0.007426,0.007426,0.007426
15,15695.1,1.68787,0.95162,1.06815,0.73234,0.29575,0.36145,0.194,1.57691,0.8287,1.03249,0.007228,0.007228,0.007228
16,21071.7,1.67623,0.93736,1.0643,0.73723,0.29741,0.36474,0.19696,1.57098,0.82077,1.02464,0.00703,0.00703,0.00703
17,21837.9,1.66183,0.92684,1.06071,0.74803,0.29985,0.369,0.19971,1.56404,0.80587,1.02702,0.006832,0.006832,0.006832
18,22417.8,1.64621,0.91542,1.05638,0.74943,0.30372,0.37156,0.20035,1.54199,0.79787,1.01982,0.006634,0.006634,0.006634
19,22986.1,1.64467,0.91441,1.05493,0.74715,0.30378,0.37328,0.202,1.54898,0.79343,1.02206,0.006436,0.006436,0.006436
20,23617.4,1.64606,0.90612,1.05222,0.75869,0.30459,0.37656,0.20408,1.54094,0.78676,1.01859,0.006238,0.006238,0.006238
21,24219.2,1.63747,0.9013,1.05318,0.75452,0.30771,0.37905,0.20685,1.52467,0.77763,1.01412,0.00604,0.00604,0.00604
22,24823.6,1.61869,0.88595,1.04731,0.76268,0.30527,0.37902,0.2076,1.52196,0.7727,1.01342,0.005842,0.005842,0.005842
23,27843.3,1.61245,0.88339,1.04196,0.7542,0.30781,0.37991,0.20787,1.51356,0.76545,1.0107,0.005644,0.005644,0.005644
24,28458.9,1.61156,0.88166,1.04101,0.7576,0.30802,0.38184,0.20925,1.51564,0.76449,1.0116,0.005446,0.005446,0.005446
25,31037.4,1.59051,0.86431,1.04193,0.75711,0.31182,0.38383,0.21179,1.50573,0.75737,1.00756,0.005248,0.005248,0.005248
26,31669.9,1.58445,0.85856,1.03885,0.76277,0.31298,0.38632,0.212,1.49723,0.75186,1.00603,0.00505,0.00505,0.00505
27,32339.1,1.59217,0.85899,1.04,0.75736,0.31562,0.39081,0.21536,1.49812,0.74329,1.00609,0.004852,0.004852,0.004852
28,33021,1.58551,0.85637,1.0364,0.76337,0.31477,0.38877,0.21588,1.48727,0.73893,1.00196,0.004654,0.004654,0.004654
29,33682.5,1.5815,0.85208,1.04096,0.75841,0.31633,0.38982,0.21604,1.48761,0.73823,1.0033,0.004456,0.004456,0.004456
30,34286.3,1.5751,0.84099,1.03488,0.76051,0.31555,0.39174,0.21803,1.4791,0.73519,1.00028,0.004258,0.004258,0.004258
31,34931.5,1.57161,0.84384,1.03497,0.76335,0.31796,0.39256,0.21859,1.47953,0.73018,1.00121,0.00406,0.00406,0.00406
32,35563.6,1.5571,0.83095,1.03038,0.76889,0.31746,0.39318,0.21874,1.47512,0.72614,1.00043,0.003862,0.003862,0.003862
33,36192.5,1.55434,0.82293,1.02672,0.7601,0.31814,0.3943,0.22007,1.47153,0.72735,0.99728,0.003664,0.003664,0.003664
34,36851.8,1.55075,0.81875,1.03025,0.76324,0.31933,0.39343,0.21918,1.46954,0.72173,0.99813,0.003466,0.003466,0.003466
35,37483.8,1.53749,0.81267,1.02644,0.77022,0.32008,0.39586,0.22136,1.46649,0.71717,0.99687,0.003268,0.003268,0.003268
36,38135,1.53737,0.80922,1.02295,0.7693,0.32011,0.39785,0.22286,1.46256,0.71466,0.99525,0.00307,0.00307,0.00307
37,38762.1,1.5304,0.8039,1.02148,0.76882,0.32153,0.39866,0.22297,1.46074,0.71355,0.99453,0.002872,0.002872,0.002872
38,39423.8,1.53792,0.80535,1.01947,0.76763,0.3229,0.39927,0.22351,1.45978,0.70962,0.9946,0.002674,0.002674,0.002674
39,40085.1,1.52425,0.79961,1.01929,0.76952,0.32303,0.39907,0.22361,1.45595,0.70712,0.9934,0.002476,0.002476,0.002476
40,40780.9,1.52653,0.79734,1.017,0.76822,0.32154,0.39896,0.22402,1.45246,0.70236,0.99316,0.002278,0.002278,0.002278
41,41479.7,1.48582,0.75707,1.0166,0.76903,0.32159,0.39882,0.22394,1.45751,0.70683,0.99356,0.00208,0.00208,0.00208
42,42136.3,1.48188,0.75353,1.01332,0.77016,0.32215,0.40002,0.22415,1.45553,0.70433,0.99278,0.001882,0.001882,0.001882
43,42842.9,1.48209,0.74872,1.01138,0.76634,0.32129,0.40043,0.22523,1.45338,0.70315,0.99292,0.001684,0.001684,0.001684
44,43491.9,1.47423,0.74195,1.00935,0.77533,0.32268,0.40368,0.22693,1.45165,0.70044,0.99277,0.001486,0.001486,0.001486
45,44158.1,1.46402,0.73463,1.01017,0.77435,0.32278,0.40434,0.22783,1.45204,0.70066,0.99175,0.001288,0.001288,0.001288
46,44790.1,1.46109,0.73253,1.00546,0.7738,0.32363,0.40468,0.22866,1.44862,0.69716,0.99045,0.00109,0.00109,0.00109
47,45418.6,1.45172,0.72508,1.00512,0.77203,0.32462,0.40574,0.22893,1.44824,0.69527,0.9906,0.000892,0.000892,0.000892
48,46778.4,1.45218,0.72286,1.0048,0.77235,0.32482,0.40548,0.22897,1.44683,0.69594,0.99012,0.000694,0.000694,0.000694
49,47447.6,1.43921,0.71269,1.00065,0.77061,0.32419,0.40512,0.22845,1.44706,0.69412,0.99021,0.000496,0.000496,0.000496
50,48121.4,1.43676,0.7099,0.99797,0.77317,0.32454,0.40654,0.22926,1.44668,0.69337,0.98984,0.000298,0.000298,0.000298
