epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,340.736,3.80061,3.46218,2.74875,0.30579,0.14853,0.12109,0.04424,2.7238,2.23539,1.89959,0.0700373,0.00332919,0.00332919
2,450.958,2.44599,1.88263,1.58637,0.46604,0.25665,0.2393,0.1096,2.06424,1.63202,1.48586,0.0399713,0.00659657,0.00659657
3,558.789,2.09215,1.48734,1.38546,0.63932,0.34742,0.3835,0.17886,1.85387,1.26001,1.32007,0.00983935,0.00979794,0.00979794
4,665.27,1.91107,1.27895,1.28208,0.70607,0.38819,0.44263,0.21944,1.71105,1.06773,1.2352,0.009703,0.009703,0.009703
5,771.247,1.80956,1.15925,1.23454,0.73071,0.41715,0.47059,0.23678,1.6574,1.00425,1.2134,0.009604,0.009604,0.009604
6,877.135,1.75514,1.07985,1.19895,0.74941,0.43382,0.4975,0.25218,1.61524,0.92698,1.18852,0.009505,0.009505,0.009505
7,983.31,1.6983,1.02693,1.18328,0.75642,0.45476,0.51221,0.25806,1.59254,0.90618,1.1782,0.009406,0.009406,0.009406
8,1089.83,1.67337,0.99189,1.16622,0.77021,0.45229,0.52014,0.26613,1.5652,0.86083,1.16016,0.009307,0.009307,0.009307
9,1195.44,1.65084,0.97124,1.15981,0.76592,0.4638,0.53009,0.27113,1.54705,0.86345,1.15533,0.009208,0.009208,0.009208
10,1302.21,1.62787,0.94427,1.15017,0.78084,0.47818,0.54694,0.28231,1.51822,0.8319,1.14333,0.009109,0.009109,0.009109
11,1408.07,1.61007,0.92589,1.14304,0.78032,0.48186,0.55205,0.28143,1.52997,0.81633,1.14581,0.00901,0.00901,0.00901
12,1514.13,1.59638,0.90991,1.13356,0.78619,0.4904,0.56164,0.29175,1.49304,0.79714,1.12699,0.008911,0.008911,0.008911
