epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,860.757,4.05028,3.47288,2.96198,0.21651,0.1738,0.11303,0.04001,2.68456,2.53837,2.11684,0.070031,0.00332989,0.00332989
2,1351.94,2.41398,1.94875,1.77867,0.61439,0.47169,0.49539,0.2346,1.89427,1.46863,1.47561,0.039965,0.00659726,0.00659726
3,1754.92,1.96123,1.49028,1.47789,0.66157,0.51773,0.54164,0.27536,1.71131,1.31955,1.34717,0.00983303,0.00979863,0.00979863
4,3160.87,1.74901,1.30784,1.35878,0.69138,0.54258,0.59187,0.3264,1.60892,1.23191,1.29069,0.009703,0.009703,0.009703
5,7630.85,1.64603,1.1797,1.30255,0.74712,0.62184,0.67506,0.38891,1.49473,1.00975,1.23156,0.009604,0.009604,0.009604
6,12299.8,1.56735,1.09522,1.26823,0.74536,0.62877,0.66989,0.39231,1.43441,0.98081,1.20515,0.009505,0.009505,0.009505
7,17966.2,1.53095,1.06512,1.24774,0.75184,0.67115,0.6967,0.42103,1.37498,0.91891,1.17299,0.009406,0.009406,0.009406
8,18304,1.49996,1.02244,1.2322,0.75554,0.68134,0.72398,0.44249,1.3653,0.86697,1.1673,0.009307,0.009307,0.009307
9,18633.6,1.44842,0.97706,1.20987,0.76912,0.67739,0.72513,0.45103,1.34666,0.85467,1.15297,0.009208,0.009208,0.009208
10,18958.9,1.4392,0.95065,1.19691,0.76876,0.69662,0.73254,0.45345,1.33246,0.84069,1.1427,0.009109,0.009109,0.009109
11,19733.3,1.41507,0.92499,1.18513,0.78776,0.67339,0.73194,0.45817,1.31611,0.84348,1.14203,0.00901,0.00901,0.00901
12,20045.4,1.38881,0.90955,1.18238,0.77972,0.6974,0.74586,0.4729,1.27516,0.81192,1.12266,0.008911,0.008911,0.008911
13,20357.8,1.38229,0.89826,1.16901,0.79256,0.7013,0.75379,0.47839,1.27852,0.78309,1.12215,0.008812,0.008812,0.008812
14,20671.5,1.36508,0.8876,1.16585,0.78044,0.70171,0.75086,0.47718,1.27034,0.79059,1.12153,0.008713,0.008713,0.008713
15,20984.6,1.34912,0.8663,1.15867,0.78503,0.70762,0.75529,0.48369,1.27242,0.76827,1.11879,0.008614,0.008614,0.008614
16,21285.3,1.33883,0.85998,1.15566,0.77942,0.71292,0.7578,0.48269,1.26341,0.77037,1.11694,0.008515,0.008515,0.008515
17,22609.7,1.3298,0.8545,1.14885,0.78013,0.70844,0.75815,0.48977,1.23992,0.76666,1.10365,0.008416,0.008416,0.008416
18,27239.1,1.32793,0.84156,1.14715,0.79888,0.70817,0.76,0.49041,1.2383,0.73862,1.10776,0.008317,0.008317,0.008317
19,31985.3,1.31632,0.83577,1.1506,0.78707,0.72525,0.76887,0.49793,1.24116,0.74598,1.10717,0.008218,0.008218,0.008218
20,33932.8,1.30298,0.81915,1.14117,0.79684,0.71822,0.76968,0.50014,1.21899,0.73304,1.09889,0.008119,0.008119,0.008119
21,37676.5,1.30017,0.8228,1.1394,0.79236,0.72776,0.77286,0.50359,1.21673,0.71667,1.09797,0.00802,0.00802,0.00802
22,37988,1.2972,0.81471,1.13969,0.7918,0.71944,0.7707,0.50634,1.2185,0.7218,1.09537,0.007921,0.007921,0.007921
23,38301.5,1.28122,0.80025,1.13054,0.77071,0.72494,0.76492,0.501,1.20543,0.72228,1.09421,0.007822,0.007822,0.007822
24,38610.8,1.28072,0.7904,1.12428,0.79493,0.73187,0.77817,0.51383,1.19689,0.69732,1.08912,0.007723,0.007723,0.007723
25,38920.3,1.27865,0.7939,1.12874,0.79344,0.73044,0.77473,0.50958,1.19603,0.70705,1.08681,0.007624,0.007624,0.007624
26,39226.8,1.27037,0.78466,1.12959,0.80582,0.72462,0.7781,0.51344,1.19263,0.692,1.08802,0.007525,0.007525,0.007525
